timestamp,open,high,low,close,volume
2020-08-11,3.4699,3.5208,2.8433,3.2985,4939138.678107
2020-08-12,3.2985,3.9289,3.08,3.7558,6176153.724638
2020-08-13,3.75,4.1387,3.5003,3.73,6446567.98049
2020-08-14,3.7207,3.7676,3.321,3.4099,5205834.095977
2020-08-15,3.4181,3.74,3.15,3.173,3658005.622202
2020-08-16,3.173,3.4907,3.12,3.3885,2227715.62781
2020-08-17,3.3885,3.3952,3.1,3.11,2355329.78763
2020-08-18,3.11,3.7092,2.8105,3.3407,8884428.596405
2020-08-19,3.3336,3.49,2.8,2.8868,4380356.946184
2020-08-20,2.8962,3.445,2.8871,3.2038,4078240.331482
2020-08-21,3.2038,3.24,2.89,2.9317,3480342.67494
2020-08-22,2.9213,3.2,2.7431,3.0126,3433997.193736
2020-08-23,3.0224,3.4,3.0014,3.25,3846250.69637
2020-08-24,3.2658,3.62,3.21,3.3405,4504839.417218
2020-08-25,3.3406,3.3654,3.0001,3.25,3629890.757954
2020-08-26,3.2579,3.7999,3.1809,3.5684,8063349.711621
2020-08-27,3.5557,3.8575,3.2434,3.4501,8578461.964527
2020-08-28,3.4503,4.3091,3.4503,4.0063,10089370.365356
2020-08-29,4.007,4.1121,3.7748,3.9535,5290923.089625
2020-08-30,3.9531,4.7117,3.9,4.4309,7967065.168313
2020-08-31,4.4127,4.8865,4.1,4.7435,6664671.747242
2020-09-01,4.7432,4.9475,4.3,4.3397,5871722.637441
2020-09-02,4.3213,4.3506,3.66,4.17,8136932.352629
2020-09-03,4.17,4.459,3.4772,3.5051,12941589.824478
2020-09-04,3.5062,3.8346,3.1739,3.5301,7262296.371156
2020-09-05,3.5301,3.6637,2.0926,2.6052,11872722.479966
2020-09-06,2.6119,3.18,2.2575,3.0941,7940868.463262
2020-09-07,3.0785,3.1983,2.38,2.9237,7269853.908694
2020-09-08,2.9237,2.9499,2.4,2.468,4163484.174943
2020-09-09,2.468,3.8838,2.3821,3.6001,22147440.589737
2020-09-10,3.6107,3.875,3.304,3.4761,15482088.381925
2020-09-11,3.4707,3.5036,3.0316,3.3965,7208721.224244
2020-09-12,3.3967,3.47,3.1494,3.3316,3845112.025727
2020-09-13,3.3386,3.47,2.9838,3.2603,6528375.660923
2020-09-14,3.2656,3.5393,3.0752,3.2641,11170955.417119
2020-09-15,3.264,3.3249,2.8955,2.9295,5332430.834567
2020-09-16,2.9288,2.9293,2.4282,2.5327,12739752.262806
2020-09-17,2.5335,2.9389,2.36,2.8829,12077814.232434
2020-09-18,2.883,3.16,2.726,3.1144,12294993.323244
2020-09-19,3.1084,3.2545,2.9564,3.031,4884899.265676
2020-09-20,3.0216,3.0319,2.7,2.8628,4183733.720404
2020-09-21,2.8628,3.0397,2.4689,2.7672,9634412.017789
2020-09-22,2.7571,3.0107,2.65,2.9082,9798314.273441
2020-09-23,2.9184,3.09,2.7001,2.8548,7980465.497946
2020-09-24,2.855,3.2571,2.7804,3.1433,9088676.27259
2020-09-25,3.1409,3.2766,2.9003,3.1937,7516842.110046
2020-09-26,3.185,3.25,3.03,3.1287,4232119.885692
2020-09-27,3.1292,3.1857,2.9819,3.1578,3052809.12141
2020-09-28,3.1557,3.2109,2.908,2.9599,3987560.497313
2020-09-29,2.9549,3.027,2.8735,2.9505,2801168.419802
2020-09-30,2.9447,2.9838,2.8228,2.8967,2099223.900761
2020-10-01,2.8967,2.9889,2.65,2.8669,3893342.82485
2020-10-02,2.8667,2.8873,2.42,2.6232,7275003.798862
2020-10-03,2.6231,2.6708,2.5356,2.5439,1435302.238821
2020-10-04,2.542,2.5898,2.42,2.5202,1911132.616223
2020-10-05,2.5181,2.683,2.4561,2.6522,2349406.462249
2020-10-06,2.6601,2.6604,2.13,2.174,4209473.429961
2020-10-07,2.1721,2.4083,2.081,2.3005,4681013.952151
2020-10-08,2.3001,2.4569,2.0123,2.3638,6159554.618655
2020-10-09,2.3686,2.63,2.303,2.5314,4668501.519986
2020-10-10,2.5274,2.6056,2.3873,2.3999,3208987.720961
2020-10-11,2.3988,2.4607,2.3401,2.4227,2160332.631941
2020-10-12,2.4228,2.7044,2.4132,2.5836,5542124.89453
2020-10-13,2.5826,2.5867,2.336,2.4062,4782866.497653
2020-10-14,2.4061,2.4424,2.2331,2.3107,2631151.893218
2020-10-15,2.3108,2.3485,2.1932,2.2682,1711559.856295
2020-10-16,2.2648,2.269,2.1071,2.1398,3372926.416337
2020-10-17,2.1374,2.2462,2.1107,2.2053,1035331.802754
2020-10-18,2.2031,2.2595,2.1763,2.215,1061887.097601
2020-10-19,2.2137,2.2148,2.05,2.0592,1903930.178309
2020-10-20,2.0552,2.108,1.8401,1.885,3745710.468754
2020-10-21,1.8873,2.11,1.8415,1.8887,6268406.963446
2020-10-22,1.8868,2.09,1.8481,1.9582,3221669.652134
2020-10-23,1.9566,1.9902,1.85,1.959,3003774.15618
2020-10-24,1.9652,1.973,1.88,1.9142,1442961.135641
2020-10-25,1.9175,1.9244,1.76,1.7926,2529847.695912
2020-10-26,1.7925,1.8685,1.6121,1.6799,3511995.568414
2020-10-27,1.676,1.75,1.5906,1.711,4356170.172761
2020-10-28,1.7084,1.7255,1.4508,1.518,5216558.27784
2020-10-29,1.518,1.5754,1.4148,1.4327,1842906.445002
2020-10-30,1.4328,1.4726,1.3163,1.4381,1967084.750428
